Points Label,Spine Label,Cluster Center x (nm),Cluster Center y (nm),# Subunits,Area (micron^2),Max Dark Time (s)
GluA2,13,45252.47567482696,12568.230034903592,118.63611743039756,0.7433297360796031,16.5
GluA2,14,14740.281693574945,12858.974888955216,155.03713270907326,0.7839520066016142,7.199999999999989
GluA2,15,15939.887993342834,13302.80062096676,48.60475161987041,0.5370532453434942,19.0
GluA2,16,46480.98318692969,13355.87176012644,35.66254513622934,0.6458073284876424,45.7
GluA2,17,15260.202266271554,15599.950936487297,48.90403548631397,0.5016285165809468,19.0
GluA2,18,11927.757371098445,15639.392522783744,58.99072676299331,0.4193755427673457,14.4
GluA2,19,16000.130312729962,16189.950385028016,97.70618276648918,0.7337187752677691,13.399999999999977
GluA2,20,48643.68616016654,18454.249204073152,141.62126825016344,0.9584307149589676,21.0
GluA2,21,12292.540576809428,19479.602160894345,101.30275624461672,0.7371503352001628,12.199999999999989
GluA2,22,44671.22974754923,19666.53732899412,143.79291729648023,0.8720258098263047,19.5
GluA2,23,46861.63679250006,19663.287539639827,39.79656779179303,0.5380849893605603,39.299999999999955
GluA2,24,13001.34652730317,21047.847694725526,145.04869075957583,0.9026176353882499,11.0
GluA2,25,47989.61879182287,20943.647258781126,5.9024110218139745,0.3065814312741265,216.3
GluA2,26,11517.728187106299,21293.834682434466,6.4033447023874865,0.45793248598245684,92.60000000000002
GluA2,27,44024.5702829573,21853.161414054783,139.95129343002486,0.8867219553764346,24.800000000000068
GluA2,28,19020.545977174457,22557.669834333148,8.897115703392641,0.2960540540776633,117.60000000000002
GluA2,30,12160.120402315391,26126.829152878232,20.42333967969537,0.3387694034740099,81.00000000000003
GluA2,31,41620.674733265674,26363.686272124847,14.156639928698567,0.3683163899475913,158.89999999999998
GluA2,32,45571.04173953461,26771.939090609154,26.21912041652755,0.6690108088277033,62.5
GluA2,33,14371.484682123702,27473.843171020624,28.126549531098412,0.5744088591638851,37.900000000000006
